city,region,country,snapshot,listings_total,eligible,above_superhost,pct_above_superhost,above_guest_favorite,buffer_zero,pct_zero_buffer_of_above,buffer_one_or_less,pct_one_or_less_of_above,median_buffer,within_5_of_superhost,url
albany,ny,united-states,2026-06-16,490,279,169,60.6,106,63,37.3,88,52.1,1,13,https://data.insideairbnb.com/united-states/ny/albany/2026-06-16/data/listings.csv.gz
asheville,nc,united-states,2026-06-25,2865,2194,1912,87.1,1448,379,19.8,681,35.6,3,47,https://data.insideairbnb.com/united-states/nc/asheville/2026-06-25/data/listings.csv.gz
austin,tx,united-states,2026-06-22,11295,6619,5013,75.7,3533,1647,32.9,2741,54.7,1,252,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/listings.csv.gz
boston,ma,united-states,2026-06-15,4378,2359,1311,55.6,715,546,41.6,775,59.1,1,92,https://data.insideairbnb.com/united-states/ma/boston/2026-06-15/data/listings.csv.gz
bozeman,mt,united-states,2026-06-19,590,405,363,89.6,298,73,20.1,133,36.6,2,6,https://data.insideairbnb.com/united-states/mt/bozeman/2026-06-19/data/listings.csv.gz
broward-county,fl,united-states,2026-06-29,17698,9605,5624,58.6,3292,2483,44.2,3758,66.8,1,498,https://data.insideairbnb.com/united-states/fl/broward-county/2026-06-29/data/listings.csv.gz
cambridge,ma,united-states,2026-06-29,1438,758,461,60.8,279,176,38.2,265,57.5,1,43,https://data.insideairbnb.com/united-states/ma/cambridge/2026-06-29/data/listings.csv.gz
chicago,il,united-states,2026-06-24,8660,5178,3351,64.7,1961,1163,34.7,1862,55.6,1,236,https://data.insideairbnb.com/united-states/il/chicago/2026-06-24/data/listings.csv.gz
clark-county-nv,nv,united-states,2026-06-27,20234,8451,5730,67.8,3311,2410,42.1,3779,66.0,1,407,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2026-06-27/data/listings.csv.gz
columbus,oh,united-states,2026-06-29,2959,1865,1225,65.7,749,398,32.5,618,50.4,1,72,https://data.insideairbnb.com/united-states/oh/columbus/2026-06-29/data/listings.csv.gz
dallas,tx,united-states,2026-06-15,6564,3528,2249,63.7,1360,1032,45.9,1522,67.7,1,198,https://data.insideairbnb.com/united-states/tx/dallas/2026-06-15/data/listings.csv.gz
denver,co,united-states,2026-06-30,4939,3055,2584,84.6,1870,751,29.1,1253,48.5,2,96,https://data.insideairbnb.com/united-states/co/denver/2026-06-30/data/listings.csv.gz
fort-worth,tx,united-states,2026-06-21,2414,1268,914,72.1,597,352,38.5,547,59.8,1,68,https://data.insideairbnb.com/united-states/tx/fort-worth/2026-06-21/data/listings.csv.gz
hawaii,hi,united-states,2026-06-21,38156,18558,12369,66.7,7429,4929,39.8,7594,61.4,1,937,https://data.insideairbnb.com/united-states/hi/hawaii/2026-06-21/data/listings.csv.gz
